Model,Accuracy,Macro Avg Precision,Macro Avg Recall,Macro Avg F1
Custom CNN,0.03121502300708867,0.012204561142735802,0.029818143127912387,0.012798586905692858
MobileNetV2,0.29449073498321104,0.3649227439510322,0.29358306520742933,0.28092003043896135
ResNet50,0.3092898893172491,0.38186264587700036,0.30848474805801035,0.2997788522066234
