,precision,recall,f1-score,support
157,0.0,0.0,0.0,29.0
158,0.0,0.0,0.0,36.0
159,0.12,0.13636363636363635,0.1276595744680851,44.0
160,0.0,0.0,0.0,48.0
161,0.0,0.0,0.0,45.0
162,0.011684518013631937,0.27906976744186046,0.022429906542056073,43.0
163,0.011727912431587178,0.3409090909090909,0.022675736961451247,44.0
164,0.0,0.0,0.0,36.0
165,0.00846262341325811,0.14634146341463414,0.016,41.0
166,0.0,0.0,0.0,47.0
167,0.0,0.0,0.0,46.0
168,0.0,0.0,0.0,44.0
169,0.0,0.0,0.0,42.0
170,0.0,0.0,0.0,38.0
171,0.0,0.0,0.0,44.0
172,0.0,0.0,0.0,43.0
173,0.0,0.0,0.0,41.0
174,0.0,0.0,0.0,38.0
175,0.0,0.0,0.0,30.0
176,0.0,0.0,0.0,44.0
177,0.0,0.0,0.0,41.0
178,0.045454545454545456,0.022222222222222223,0.029850746268656716,45.0
179,0.0,0.0,0.0,42.0
180,0.0,0.0,0.0,38.0
181,0.0,0.0,0.0,46.0
182,0.0,0.0,0.0,42.0
183,0.0,0.0,0.0,40.0
184,0.043478260869565216,0.05263157894736842,0.047619047619047616,38.0
185,0.012658227848101266,0.05,0.020202020202020204,40.0
186,0.0,0.0,0.0,43.0
187,0.0,0.0,0.0,43.0
188,0.0,0.0,0.0,38.0
189,0.0,0.0,0.0,42.0
190,0.07692307692307693,0.021739130434782608,0.03389830508474576,46.0
191,0.0,0.0,0.0,43.0
192,0.0,0.0,0.0,45.0
193,0.08,0.0975609756097561,0.08791208791208792,41.0
194,0.0,0.0,0.0,43.0
195,0.0,0.0,0.0,40.0
accuracy,0.03121502300708867,0.03121502300708867,0.03121502300708867,0.03121502300708867
macro avg,0.012204561142735802,0.029818143127912387,0.012798586905692858,8041.0
weighted avg,0.012517703105164868,0.03121502300708867,0.012986876718527458,8041.0
