,precision,recall,f1-score,support
0,0.7049180327868853,0.9772727272727273,0.819047619047619,44.0
1,0.39473684210526316,0.3409090909090909,0.36585365853658536,44.0
2,0.0,0.0,0.0,32.0
3,0.3333333333333333,0.16279069767441862,0.21875,43.0
4,0.47058823529411764,0.19047619047619047,0.2711864406779661,42.0
5,0.0,0.0,0.0,40.0
6,0.5,0.02564102564102564,0.04878048780487805,39.0
7,0.48148148148148145,0.28888888888888886,0.3611111111111111,45.0
8,0.47058823529411764,0.1951219512195122,0.27586206896551724,41.0
9,0.5357142857142857,0.45454545454545453,0.4918032786885246,33.0
10,0.5348837209302325,0.6052631578947368,0.5679012345679012,38.0
11,0.25,0.1,0.14285714285714285,40.0
12,0.6521739130434783,0.35714285714285715,0.46153846153846156,42.0
13,0.3076923076923077,0.0975609756097561,0.14814814814814814,41.0
14,0.4117647058823529,0.32558139534883723,0.36363636363636365,43.0
15,0.35,0.3888888888888889,0.3684210526315789,36.0
16,0.13043478260869565,0.06666666666666667,0.08823529411764706,45.0
17,0.0,0.0,0.0,39.0
18,0.36585365853658536,0.35714285714285715,0.3614457831325301,42.0
19,0.25,0.23809523809523808,0.24390243902439024,42.0
20,0.23376623376623376,0.391304347826087,0.2926829268292683,46.0
21,0.375,0.075,0.125,40.0
22,0.35555555555555557,0.41025641025641024,0.38095238095238093,39.0
23,0.36363636363636365,0.09523809523809523,0.1509433962264151,42.0
24,0.18181818181818182,0.37209302325581395,0.24427480916030533,43.0
25,0.42105263157894735,0.22857142857142856,0.2962962962962963,35.0
26,0.23076923076923078,0.36585365853658536,0.2830188679245283,41.0
27,0.07317073170731707,0.07142857142857142,0.07228915662650602,42.0
28,0.208955223880597,0.34146341463414637,0.25925925925925924,41.0
29,0.41379310344827586,0.2727272727272727,0.3287671232876712,44.0
30,0.3076923076923077,0.11764705882352941,0.1702127659574468,34.0
31,0.14285714285714285,0.022727272727272728,0.0392156862745098,44.0
32,0.16666666666666666,0.0975609756097561,0.12307692307692308,41.0
33,0.1827956989247312,0.4146341463414634,0.2537313432835821,41.0
34,0.2558139534883721,0.2894736842105263,0.2716049382716049,38.0
35,0.1724137931034483,0.12195121951219512,0.14285714285714285,41.0
36,0.11764705882352941,0.047619047619047616,0.06779661016949153,42.0
37,0.5,0.1,0.16666666666666666,40.0
38,0.25333333333333335,0.48717948717948717,0.3333333333333333,39.0
39,0.23255813953488372,0.22727272727272727,0.22988505747126436,44.0
40,0.11711711711711711,0.2826086956521739,0.16560509554140126,46.0
41,0.21739130434782608,0.29411764705882354,0.25,34.0
42,0.3939393939393939,0.3611111111111111,0.37681159420289856,36.0
43,0.3333333333333333,0.5714285714285714,0.42105263157894735,35.0
44,0.5833333333333334,0.21875,0.3181818181818182,32.0
45,0.9166666666666666,0.2558139534883721,0.4,43.0
46,0.16666666666666666,0.19047619047619047,0.17777777777777778,42.0
47,0.3,0.07142857142857142,0.11538461538461539,42.0
