,precision,recall,f1-score,support
0,0.8787878787878788,0.6590909090909091,0.7532467532467533,44.0
1,0.4107142857142857,0.5227272727272727,0.46,44.0
2,0.14285714285714285,0.09375,0.11320754716981132,32.0
3,0.2,0.06976744186046512,0.10344827586206896,43.0
4,0.23809523809523808,0.11904761904761904,0.15873015873015872,42.0
5,0.5,0.125,0.2,40.0
6,0.3888888888888889,0.1794871794871795,0.24561403508771928,39.0
7,0.2692307692307692,0.3111111111111111,0.28865979381443296,45.0
8,0.19047619047619047,0.1951219512195122,0.1927710843373494,41.0
9,0.3076923076923077,0.24242424242424243,0.2711864406779661,33.0
10,0.40540540540540543,0.7894736842105263,0.5357142857142857,38.0
11,0.3235294117647059,0.275,0.2972972972972973,40.0
12,0.6666666666666666,0.19047619047619047,0.2962962962962963,42.0
13,0.3333333333333333,0.4634146341463415,0.3877551020408163,41.0
14,0.3333333333333333,0.13953488372093023,0.19672131147540983,43.0
15,0.48148148148148145,0.3611111111111111,0.4126984126984127,36.0
16,0.2777777777777778,0.1111111111111111,0.15873015873015872,45.0
17,0.07407407407407407,0.05128205128205128,0.06060606060606061,39.0
18,0.29508196721311475,0.42857142857142855,0.34951456310679613,42.0
19,0.14285714285714285,0.047619047619047616,0.07142857142857142,42.0
20,0.29411764705882354,0.32608695652173914,0.30927835051546393,46.0
21,0.225,0.225,0.225,40.0
22,0.25,0.2564102564102564,0.25316455696202533,39.0
23,0.1,0.047619047619047616,0.06451612903225806,42.0
24,0.18518518518518517,0.11627906976744186,0.14285714285714285,43.0
25,0.3333333333333333,0.14285714285714285,0.2,35.0
26,0.2727272727272727,0.36585365853658536,0.3125,41.0
27,0.4,0.047619047619047616,0.0851063829787234,42.0
28,0.23214285714285715,0.3170731707317073,0.26804123711340205,41.0
29,0.4,0.09090909090909091,0.14814814814814814,44.0
30,0.3611111111111111,0.38235294117647056,0.37142857142857144,34.0
31,0.4,0.09090909090909091,0.14814814814814814,44.0
32,0.17647058823529413,0.07317073170731707,0.10344827586206896,41.0
33,0.18518518518518517,0.36585365853658536,0.2459016393442623,41.0
34,0.3181818181818182,0.18421052631578946,0.23333333333333334,38.0
35,0.4,0.2926829268292683,0.3380281690140845,41.0
36,0.55,0.2619047619047619,0.3548387096774194,42.0
37,0.34146341463414637,0.35,0.345679012345679,40.0
38,0.4523809523809524,0.48717948717948717,0.4691358024691358,39.0
39,0.2564102564102564,0.22727272727272727,0.24096385542168675,44.0
40,0.23404255319148937,0.2391304347826087,0.23655913978494625,46.0
41,0.30303030303030304,0.29411764705882354,0.29850746268656714,34.0
